Title,Author,ISBN#,ISBN13,Date Started,Date Finished,Read?,Favorite?,
Einstein’s Dreams,Alan Lightman,,,,,,,
Elizabeth and Her German Garden,Elizabeth von Arnim,,,,,,,
Eloise,Kay Thompson,,,,,,,
Emma,Jane Austen,,,,,,,
Ender’s Game,Orson Scott Card,,,,,,,
Endurance,Alfred Lansing,,,,,,,
Enemies of Promise,Cyril Connolly,,,,,,,
EntreLeadership,Dave Ramsey,,,,,,,
Epic Content Marketing,Joe Pulizzi,,,,,,,
Epitaph of a Small Winner,Joaquim María Machado de Assis,,,,,,,
Espionage and Covert Operations,Vejas Gabriel Liulevicius,,,,,,,
Essays,Michel Eyquem de Montaigne,,,,,,,
Essays and Lectures,Ralph Waldo Emerson,,,,,,,
Ethical Hacking,Zach Codings,,,,,,,
Eugene Onegin,Alexander Pushkin,,,,,,,
Everything Flows,Vasily Grossman,,,,,,,
Everything is Fucked,Mark Manson,,,,,,,
Everything That Rises Must Converge,Flannery O'Connor,,,,,,,
Evolutionary Psychology,David M. Buss,,,,,,,
Excellent Women,Barbara Pym,,,,,,,
Explaining Hitler,Ron Rosenbaum,,,,,,,
Extreme Ownership,Jocko Willink,,,,,,,
Eyewitness to History,John Carey,,,,,,,
Fahrenheit 451,Ray Bradbury,,,,,,,
Failing Forward,John C. Maxwell,,,,,,,
Fairy Tales,Hans Christian Andersen,,,,,,,
Fame and Obscurity,Gay Talese,,,,,,,
Fanatical Prospecting,Jen Blount,,,,,,,
Fast Asleep,Dr. Michael Mosley,,,,,,,
Faust,Johann Wolfgang Von Goethe,,,,,,,
Fearless Writing,William Kenower,,,,,,,
Fer-de-Lance,Rex Stout,,,,,,,
Ficciones,Jorge Luis Borges,,,,,,,
Fifth Business,Robertson Davies,,,,,,,
Finnegans Wake,James Joyce,,,,,,,
Five Days in London,John Lukacs,,,,,,,
Flash Boys,Michael   Lewis,,,,,,,
Flashman,George MacDonald Fraser,,,,,,,
Flatland,Edwin A. Abbott,,,,,,,
Flaubert’s Parrot,Julian Barnes,,,,,,,
Flour Water Salt Yeast,Ken Forkish,,,,,,,
Footsteps,Richard Holmes,,,,,,,
Forests,Robert Pogue Harrison,,,,,,,
Forms of Devotion,Diane Schoemperlen,,,,,,,
Fortitude,Dan Crenshaw,,,,,,,
Foucault's Pendulum,Umberto Eco,,,,,,,
Foundation,Isaac Asimov,,,,,,,
Foundation and Empire,Isaac Asimov,,,,,,,
Founding Brothers,Joseph J. Ellis,,,,,,,
Four Quartets,T. S. Eliot,,,,,,,
France and England in North America,Francis Parkman,,,,,,,
Franny and Zooey,J.D. Salinger,,,,,,,
Free to Choose,Milton Friedman,,,,,,,
Friday Night Lights,H. G. Bissinger,,,,,,,
Friends in High Places,Donna Leon,,,,,,,
From Russia with Love,Ian Fleming,,,,,,,
From the Mixed-Up Files of Mrs. Basil E. Frankweiler,E. L. Konigsburg,,,,,,,
Fun Home,Alison Bechdel,,,,,,,
Gardening for Love,Elizabeth Lawrence,,,,,,,
Gargantua and Pantagruel,François Rabelais,,,,,,,
Garibaldi and the Thousand,George Macaulay Trevelyan,,,,,,,
Germinal,Émile Zola,,,,,,,
Getting to Yes,Roger Fisher,,,,,,,
Giants and Heroes,Dianne Tittle de Laet,,,,,,,
Gilead,Marilynne Robinson,,,,,,,
Girl in Hyacinth Blue,Susan Vreeland,,,,,,,
Give Me a Break,John Stossel,,,,,,,
Giving Up the Gun,Noel Perrin,,,,,,,
Go Ask Alice,Beatrice Sparks,,,,,,,
"Gödel, Escher, Bach",Douglas R. Hofstadter,,,,,,,
Gone Girl,Gillian Flynn,,,,,,,
Gone With the Wind,Margaret Mitchell,,,,,,,
"Good Habits, Bad Habits",Wendy Wood,,,,,,,
Good to Great,James C. Collins,,,,,,,
Good-Bye to All That,Robert Graves,,,,,,,
"Goodbye, Darkness",William Manchester,,,,,,,
"Goodbye, Mr. Chips",James Hilton,,,,,,,
Goodnight Moon,Margaret Wise Brown,,,,,,,
Gormenghast,Mervyn Peake,,,,,,,
Grain Brain,David Perlmutter,,,,,,,
Graphic Design for Everyone,Cath Caldwell,,,,,,,
Gravity’s Rainbow,Thomas Pynchon,,,,,,,
Great Books,David Denby,,,,,,,
Great Expectations,Charles Dickens,,,,,,,
Great River,Paul Horgan,,,,,,,
Grimms’ Tales for Young and Old,Jacob and Wilhelm Grimm,,,,,,,
Growing Up,Russell Baker,,,,,,,
Guerrilla Warfare,Che Guevara,,,,,,,
Guitar,David Schiller,,,,,,,
Gulliver’s Travels,Jonathan Swift,,,,,,,
Guys and Dolls,Damon Runyon,,,,,,,
Hadji Murat,Leo Tolstoy,,,,,,,
Hagakure,Yamamoto Tsunetomo,,,,,,,
Half of a Yellow Sun,Chimamanda Ngozi Adichie,,,,,,,
Hamlet,William Shakespeare,,,,,,,
Harassment Architecture,Mike Ma,,,,,,,
Harold and the Purple Crayon,Crockett Johnson,,,,,,,
Harriet the Spy,Louise Fitzhugh,,,,,,,
Heart of Darkness,Joseph Conrad,,,,,,,
Heat and Dust,Ruth Prawer Jhabvala,,,,,,,
Hegel's Phenomenology of Spirit,Georg Wilhelm Friedrich Hegel,,,,,,,
Heir to the Jedi,Kevin Hearne,,,,,,,
Heisenberg’s War,Thomas Powers,,,,,,,
Hello World,Hannah Fry,,,,,,,
"Henry IV, Part 1",William Shakespeare,,,,,,,
"Henry IV, Part 2",William Shakespeare,,,,,,,
Henry V,William Shakespeare,,,,,,,
Her Smoke Rose Up Forever,James Tiptree Jr.,,,,,,,
Hermit of Peking,Hugh Trevor-Roper,,,,,,,
Hero with a Thousand Faces,Joseph Campbell,,,,,,,
